dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2010-12-01,12,0,1,0,0,0,0,0,0,0,0,0,0,1
2011-01-01,14,0,1,0,0,0,0,0,0,0,0,0,0,1
2011-02-01,7,0,1,0,0,0,0,0,0,0,0,0,0,3
2011-03-01,7,0,1,0,0,0,0,0,0,0,0,0,0,2
2011-04-01,16,0,1,0,0,0,0,0,0,0,0,0,0,1
2011-05-01,17,0,1,0,0,0,0,0,0,0,0,0,0,1
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,3,0,1,0,0,0,0,0,0,0,0,0,0,2
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2011-09-01,7,0,1,0,0,0,0,0,0,0,0,0,0,2
2011-10-01,6,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,2,0,1,0,0,0,0,0,0,0,0,0,0,5
2011-12-01,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2012-01-01,5,0,1,0,0,0,0,0,0,0,0,0,0,3
2012-02-01,14,0,1,0,0,0,0,0,0,0,0,0,0,1
2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,3,0,1
2013-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2013-07-01,12,0,3,4,2,0,0,0,0,2,0,0,0,1
2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-10-01,2,0,1,1,0,0,0,0,0,0,0,0,0,5
